date,industry_count,divergence,ma20,cold_line,hot_line,signal
2019-04-29,2,,,,,正常
2019-04-30,2,,,,,正常
2019-04-30,2,,,,,正常
2019-05-06,2,,,,,正常
2019-05-06,2,,,,,正常
2019-05-07,2,,,,,正常
2019-05-07,2,,,,,正常
2019-05-08,2,,,,,正常
2019-05-08,2,,,,,正常
2019-05-09,2,,,,,正常
2019-05-09,2,,,,,正常
2019-05-10,2,,,,,正常
2019-05-10,2,,,,,正常
2019-05-13,2,,,,,正常
2019-05-13,2,,,,,正常
2019-05-14,2,,,,,正常
2019-05-14,2,,,,,正常
2019-05-15,2,,,,,正常
2019-05-15,2,,,,,正常
2019-05-16,2,,,,,正常
2019-05-16,2,,,,,正常
2019-05-17,2,,,,,正常
2019-05-17,2,,,,,正常
2019-05-20,2,,,,,正常
2019-05-20,2,,,,,正常
2019-05-21,2,,,,,正常
2019-05-21,2,,,,,正常
2019-05-22,2,,,,,正常
2019-05-22,2,,,,,正常
2019-05-23,2,,,,,正常
2019-05-23,2,,,,,正常
2019-05-24,2,,,,,正常
2019-05-24,2,,,,,正常
2019-05-27,2,,,,,正常
2019-05-27,2,,,,,正常
2019-05-28,2,,,,,正常
2019-05-28,2,,,,,正常
2019-05-29,2,,,,,正常
2019-05-29,2,,,,,正常
2019-05-30,2,,,,,正常
2019-05-30,2,,,,,正常
2019-05-31,2,,,,,正常
2019-05-31,2,,,,,正常
2019-06-03,2,,,,,正常
2019-06-03,2,,,,,正常
2019-06-04,2,,,,,正常
2019-06-04,2,,,,,正常
2019-06-05,2,,,,,正常
2019-06-05,2,,,,,正常
2019-06-06,2,,,,,正常
2019-06-06,2,,,,,正常
2019-06-10,3,,,,,正常
2019-06-10,3,,,,,正常
2019-06-11,3,,,,,正常
2019-06-11,3,,,,,正常
2019-06-12,3,,,,,正常
2019-06-12,3,,,,,正常
2019-06-13,3,,,,,正常
2019-06-13,3,,,,,正常
2019-06-14,3,,,,,正常
2019-06-14,3,,,,,正常
2019-06-17,3,,,,,正常
2019-06-17,3,,,,,正常
2019-06-18,3,,,,,正常
2019-06-18,3,,,,,正常
2019-06-19,3,,,,,正常
2019-06-19,3,,,,,正常
2019-06-20,3,,,,,正常
2019-06-20,3,,,,,正常
2019-06-21,3,,,,,正常
2019-06-21,3,,,,,正常
2019-06-24,3,,,,,正常
2019-06-24,3,,,,,正常
2019-06-25,3,,,,,正常
2019-06-25,3,,,,,正常
2019-06-26,3,,,,,正常
2019-06-26,3,,,,,正常
2019-06-27,3,,,,,正常
2019-06-27,3,,,,,正常
2019-06-28,3,,,,,正常
2019-06-28,3,,,,,正常
2019-07-01,3,,,,,正常
2019-07-01,3,,,,,正常
2019-07-02,3,,,,,正常
2019-07-02,3,,,,,正常
2019-07-03,3,,,,,正常
2019-07-03,3,,,,,正常
2019-07-04,3,,,,,正常
2019-07-04,3,,,,,正常
2019-07-05,3,,,,,正常
2019-07-05,3,,,,,正常
2019-07-08,3,,,,,正常
2019-07-08,3,,,,,正常
2019-07-09,3,,,,,正常
2019-07-09,3,,,,,正常
2019-07-10,3,,,,,正常
2019-07-10,3,,,,,正常
2019-07-11,3,,,,,正常
2019-07-11,3,,,,,正常
2019-07-12,3,,,,,正常
2019-07-12,3,,,,,正常
2019-07-15,3,,,,,正常
2019-07-15,3,,,,,正常
2019-07-16,3,,,,,正常
2019-07-16,3,,,,,正常
2019-07-17,3,,,,,正常
2019-07-17,3,,,,,正常
2019-07-18,3,,,,,正常
2019-07-18,3,,,,,正常
2019-07-19,3,,,,,正常
2019-07-19,3,,,,,正常
2019-07-22,3,,,,,正常
2019-07-22,3,,,,,正常
2019-07-23,3,,,,,正常
2019-07-23,3,,,,,正常
2019-07-24,3,,,,,正常
2019-07-24,3,,,,,正常
2019-07-25,3,,,,,正常
2019-07-25,3,,,,,正常
2019-07-26,3,,,,,正常
2019-07-26,3,,,,,正常
2019-07-29,3,,,,,正常
2019-07-29,3,,,,,正常
2019-07-30,3,,,,,正常
2019-07-30,3,,,,,正常
2019-07-31,3,,,,,正常
2019-07-31,3,,,,,正常
2019-08-01,3,,,,,正常
2019-08-01,3,,,,,正常
2019-08-02,3,,,,,正常
2019-08-02,3,,,,,正常
2019-08-05,3,,,,,正常
2019-08-05,3,,,,,正常
2019-08-06,3,,,,,正常
2019-08-06,3,,,,,正常
2019-08-07,3,,,,,正常
2019-08-07,3,,,,,正常
2019-08-08,3,,,,,正常
2019-08-08,3,,,,,正常
2019-08-09,3,,,,,正常
2019-08-09,3,,,,,正常
2019-08-12,3,,,,,正常
2019-08-12,3,,,,,正常
2019-08-13,3,,,,,正常
2019-08-13,3,,,,,正常
2019-08-14,3,,,,,正常
2019-08-14,3,,,,,正常
2019-08-15,3,,,,,正常
2019-08-15,3,,,,,正常
2019-08-16,3,,,,,正常
2019-08-16,3,,,,,正常
2019-08-19,3,,,,,正常
2019-08-19,3,,,,,正常
2019-08-20,3,,,,,正常
2019-08-20,3,,,,,正常
2019-08-21,3,,,,,正常
2019-08-21,3,,,,,正常
2019-08-22,3,,,,,正常
2019-08-22,3,,,,,正常
2019-08-23,3,,,,,正常
2019-08-23,3,,,,,正常
2019-08-26,3,,,,,正常
2019-08-26,3,,,,,正常
2019-08-27,3,,,,,正常
2019-08-27,3,,,,,正常
2019-08-28,3,,,,,正常
2019-08-28,3,,,,,正常
2019-08-29,3,,,,,正常
2019-08-29,3,,,,,正常
2019-08-30,3,,,,,正常
2019-08-30,3,,,,,正常
2019-09-02,3,,,,,正常
2019-09-02,3,,,,,正常
2019-09-03,3,,,,,正常
2019-09-03,3,,,,,正常
2019-09-04,3,,,,,正常
2019-09-04,3,,,,,正常
2019-09-05,3,,,,,正常
2019-09-05,3,,,,,正常
2019-09-06,3,,,,,正常
2019-09-06,3,,,,,正常
2019-09-09,3,,,,,正常
2019-09-09,3,,,,,正常
2019-09-10,3,,,,,正常
2019-09-10,3,,,,,正常
2019-09-11,3,,,,,正常
2019-09-11,3,,,,,正常
2019-09-12,3,,,,,正常
2019-09-12,3,,,,,正常
2019-09-16,3,,,,,正常
2019-09-16,3,,,,,正常
2019-09-17,3,,,,,正常
2019-09-17,3,,,,,正常
2019-09-18,3,,,,,正常
2019-09-18,3,,,,,正常
2019-09-19,3,,,,,正常
2019-09-19,3,,,,,正常
2019-09-20,3,,,,,正常
2019-09-20,3,,,,,正常
2019-09-23,3,,,,,正常
2019-09-23,3,,,,,正常
2019-09-24,3,,,,,正常
2019-09-24,3,,,,,正常
2019-09-25,3,,,,,正常
2019-09-25,3,,,,,正常
2019-09-26,3,,,,,正常
2019-09-26,3,,,,,正常
2019-09-27,3,,,,,正常
2019-09-27,3,,,,,正常
2019-09-30,3,,,,,正常
2019-09-30,3,,,,,正常
2019-10-08,3,,,,,正常
2019-10-08,3,,,,,正常
2019-10-09,3,,,,,正常
2019-10-09,3,,,,,正常
2019-10-10,3,,,,,正常
2019-10-10,3,,,,,正常
2019-10-11,3,,,,,正常
2019-10-11,3,,,,,正常
2019-10-14,3,,,,,正常
2019-10-14,3,,,,,正常
2019-10-15,3,,,,,正常
2019-10-15,3,,,,,正常
2019-10-16,3,,,,,正常
2019-10-16,3,,,,,正常
2019-10-17,3,,,,,正常
2019-10-17,3,,,,,正常
2019-10-18,3,,,,,正常
2019-10-18,3,,,,,正常
2019-10-21,3,,,,,正常
2019-10-21,3,,,,,正常
2019-10-22,3,,,,,正常
2019-10-22,3,,,,,正常
2019-10-23,3,,,,,正常
2019-10-23,3,,,,,正常
2019-10-24,3,,,,,正常
2019-10-24,3,,,,,正常
2019-10-25,3,,,,,正常
2019-10-25,3,,,,,正常
2019-10-28,3,,,,,正常
2019-10-28,3,,,,,正常
2019-10-29,3,,,,,正常
2019-10-29,3,,,,,正常
2019-10-30,3,,,,,正常
2019-10-30,3,,,,,正常
2019-10-31,3,,,,,正常
2019-10-31,3,,,,,正常
2019-11-01,3,,,,,正常
2019-11-01,3,,,,,正常
2019-11-04,3,,,,,正常
2019-11-04,3,,,,,正常
2019-11-05,3,,,,,正常
2019-11-05,3,,,,,正常
2019-11-06,3,,,,,正常
2019-11-06,3,,,,,正常
2019-11-07,4,,,,,正常
2019-11-07,4,,,,,正常
2019-11-08,4,,,,,正常
2019-11-08,4,,,,,正常
2019-11-11,4,,,,,正常
2019-11-11,4,,,,,正常
2019-11-12,4,,,,,正常
2019-11-12,4,,,,,正常
2019-11-13,4,,,,,正常
2019-11-13,4,,,,,正常
2019-11-14,4,,,,,正常
2019-11-14,4,,,,,正常
2019-11-15,4,,,,,正常
2019-11-15,4,,,,,正常
2019-11-18,4,,,,,正常
2019-11-18,4,,,,,正常
2019-11-19,4,,,,,正常
2019-11-19,4,,,,,正常
2019-11-20,4,,,,,正常
2019-11-20,4,,,,,正常
2019-11-21,4,,,,,正常
2019-11-21,4,,,,,正常
2019-11-22,4,,,,,正常
2019-11-22,4,,,,,正常
2019-11-25,4,,,,,正常
2019-11-25,4,,,,,正常
2019-11-26,4,,,,,正常
2019-11-26,4,,,,,正常
2019-11-27,4,,,,,正常
2019-11-27,4,,,,,正常
2019-11-28,4,,,,,正常
2019-11-28,4,,,,,正常
2019-11-29,4,,,,,正常
2019-11-29,4,,,,,正常
2019-12-02,4,,,,,正常
2019-12-02,4,,,,,正常
2019-12-03,4,,,,,正常
2019-12-03,4,,,,,正常
2019-12-04,4,,,,,正常
2019-12-04,4,,,,,正常
2019-12-05,4,,,,,正常
2019-12-05,4,,,,,正常
2019-12-06,4,,,,,正常
2019-12-06,4,,,,,正常
2019-12-09,4,,,,,正常
2019-12-09,4,,,,,正常
2019-12-10,4,,,,,正常
2019-12-10,4,,,,,正常
2019-12-11,4,,,,,正常
2019-12-11,4,,,,,正常
2019-12-12,4,,,,,正常
2019-12-12,4,,,,,正常
2019-12-13,4,,,,,正常
2019-12-13,4,,,,,正常
2019-12-16,4,,,,,正常
2019-12-16,4,,,,,正常
2019-12-17,4,,,,,正常
2019-12-17,4,,,,,正常
2019-12-18,4,,,,,正常
2019-12-18,4,,,,,正常
2019-12-19,4,,,,,正常
2019-12-19,4,,,,,正常
2019-12-20,4,,,,,正常
2019-12-20,4,,,,,正常
2019-12-23,4,,,,,正常
2019-12-23,4,,,,,正常
2019-12-24,4,,,,,正常
2019-12-24,4,,,,,正常
2019-12-25,5,,,,,正常
2019-12-25,5,,,,,正常
2019-12-26,5,,,,,正常
2019-12-26,5,,,,,正常
2019-12-27,5,,,,,正常
2019-12-27,5,,,,,正常
2019-12-30,5,,,,,正常
2019-12-30,5,,,,,正常
2019-12-31,5,,,,,正常
2019-12-31,5,,,,,正常
2020-01-02,5,,,,,正常
2020-01-02,5,,,,,正常
2020-01-03,5,,,,,正常
2020-01-03,5,,,,,正常
2020-01-06,5,,,,,正常
2020-01-06,5,,,,,正常
2020-01-07,5,,,,,正常
2020-01-07,5,,,,,正常
2020-01-08,5,,,,,正常
2020-01-08,5,,,,,正常
2020-01-09,5,,,,,正常
2020-01-09,5,,,,,正常
2020-01-10,5,,,,,正常
2020-01-10,5,,,,,正常
2020-01-13,5,,,,,正常
2020-01-13,5,,,,,正常
2020-01-14,5,,,,,正常
2020-01-14,5,,,,,正常
2020-01-15,5,,,,,正常
2020-01-15,5,,,,,正常
2020-01-16,5,,,,,正常
2020-01-16,5,,,,,正常
2020-01-17,5,,,,,正常
2020-01-17,5,,,,,正常
2020-01-20,5,,,,,正常
2020-01-20,5,,,,,正常
2020-01-21,5,,,,,正常
2020-01-21,5,,,,,正常
2020-01-22,5,,,,,正常
2020-01-22,5,,,,,正常
2020-01-23,5,,,,,正常
2020-01-23,5,,,,,正常
2020-02-03,5,,,,,正常
2020-02-03,5,,,,,正常
2020-02-04,5,,,,,正常
2020-02-04,5,,,,,正常
2020-02-05,5,,,,,正常
2020-02-05,5,,,,,正常
2020-02-06,5,,,,,正常
2020-02-06,5,,,,,正常
2020-02-07,5,,,,,正常
2020-02-07,5,,,,,正常
2020-02-10,5,,,,,正常
2020-02-10,5,,,,,正常
2020-02-11,5,,,,,正常
2020-02-11,5,,,,,正常
2020-02-12,5,,,,,正常
2020-02-12,5,,,,,正常
2020-02-13,5,,,,,正常
2020-02-13,5,,,,,正常
2020-02-14,5,,,,,正常
2020-02-14,5,,,,,正常
2020-02-17,5,,,,,正常
2020-02-17,5,,,,,正常
2020-02-18,5,,,,,正常
2020-02-18,5,,,,,正常
2020-02-19,9,,,,,正常
2020-02-19,9,,,,,正常
2020-02-20,9,,,,,正常
2020-02-20,9,,,,,正常
2020-02-21,9,,,,,正常
2020-02-21,9,,,,,正常
2020-02-24,9,,,,,正常
2020-02-24,9,,,,,正常
2020-02-25,9,,,,,正常
2020-02-25,9,,,,,正常
2020-02-26,9,,,,,正常
2020-02-26,9,,,,,正常
2020-02-27,9,,,,,正常
2020-02-27,9,,,,,正常
2020-02-28,9,,,,,正常
2020-02-28,9,,,,,正常
2020-03-02,9,,,,,正常
2020-03-02,9,,,,,正常
2020-03-03,9,,,,,正常
2020-03-03,9,,,,,正常
2020-03-04,9,,,,,正常
2020-03-04,9,,,,,正常
2020-03-05,9,,,,,正常
2020-03-05,9,,,,,正常
2020-03-06,9,,,,,正常
2020-03-06,9,,,,,正常
2020-03-09,9,,,,,正常
2020-03-09,9,,,,,正常
2020-03-10,9,,,,,正常
2020-03-10,9,,,,,正常
2020-03-11,9,,,,,正常
2020-03-11,9,,,,,正常
2020-03-12,9,,,,,正常
2020-03-12,9,,,,,正常
2020-03-13,9,,,,,正常
2020-03-13,9,,,,,正常
2020-03-16,9,,,,,正常
2020-03-16,9,,,,,正常
2020-03-17,9,,,,,正常
2020-03-17,9,,,,,正常
2020-03-18,9,,,,,正常
2020-03-18,9,,,,,正常
2020-03-19,9,,,,,正常
2020-03-19,9,,,,,正常
2020-03-20,9,,,,,正常
2020-03-20,9,,,,,正常
2020-03-23,9,,,,,正常
2020-03-23,9,,,,,正常
2020-03-24,9,,,,,正常
2020-03-24,9,,,,,正常
2020-03-25,9,,,,,正常
2020-03-25,9,,,,,正常
2020-03-26,9,,,,,正常
2020-03-26,9,,,,,正常
2020-03-27,9,,,,,正常
2020-03-27,9,,,,,正常
2020-03-30,9,,,,,正常
2020-03-30,9,,,,,正常
2020-03-31,9,,,,,正常
2020-03-31,9,,,,,正常
2020-04-01,9,,,,,正常
2020-04-01,9,,,,,正常
2020-04-02,9,,,,,正常
2020-04-02,9,,,,,正常
2020-04-03,9,,,,,正常
2020-04-03,9,,,,,正常
2020-04-07,9,,,,,正常
2020-04-07,9,,,,,正常
2020-04-08,9,,,,,正常
2020-04-08,9,,,,,正常
2020-04-09,9,,,,,正常
2020-04-09,9,,,,,正常
2020-04-10,9,,,,,正常
2020-04-10,9,,,,,正常
2020-04-13,9,,,,,正常
2020-04-13,9,,,,,正常
2020-04-14,9,,,,,正常
2020-04-14,9,,,,,正常
2020-04-15,9,,,,,正常
2020-04-15,9,,,,,正常
2020-04-16,9,,,,,正常
2020-04-16,9,,,,,正常
2020-04-17,9,,,,,正常
2020-04-17,9,,,,,正常
2020-04-20,9,,,,,正常
2020-04-20,9,,,,,正常
2020-04-21,9,,,,,正常
2020-04-21,9,,,,,正常
2020-04-22,9,,,,,正常
2020-04-22,9,,,,,正常
2020-04-23,9,,,,,正常
2020-04-23,9,,,,,正常
2020-04-24,9,,,,,正常
2020-04-24,9,,,,,正常
2020-04-27,9,,,,,正常
2020-04-27,9,,,,,正常
2020-04-28,9,,,,,正常
2020-04-28,9,,,,,正常
2020-04-29,9,,,,,正常
2020-04-29,9,,,,,正常
2020-04-30,9,,,,,正常
2020-04-30,9,,,,,正常
2020-05-06,9,,,,,正常
2020-05-06,9,,,,,正常
2020-05-07,9,,,,,正常
2020-05-07,9,,,,,正常
2020-05-08,9,,,,,正常
2020-05-08,9,,,,,正常
2020-05-11,12,,,,,正常
2020-05-11,12,,,,,正常
2020-05-12,12,,,,,正常
2020-05-12,12,,,,,正常
2020-05-13,12,,,,,正常
2020-05-13,12,,,,,正常
2020-05-14,12,,,,,正常
2020-05-14,12,,,,,正常
2020-05-15,12,,,,,正常
2020-05-15,12,,,,,正常
2020-05-18,12,,,,,正常
2020-05-18,12,,,,,正常
2020-05-19,12,0.0827475134903328,,,,正常
2020-05-19,12,0.08274751349033282,,,,正常
2020-05-20,12,0.08108794565283106,,,,正常
2020-05-20,12,0.081087945652831,,,,正常
2020-05-21,12,0.08075095306166069,,,,正常
2020-05-21,12,0.0807509530616606,,,,正常
2020-05-22,12,0.080655255274616,,,,正常
2020-05-22,12,0.08065525527461603,,,,正常
2020-05-25,12,0.0802325287430912,0.0810948392445063,,,正常
2020-05-25,12,0.08023252874309128,0.08109483924450638,,,正常
2020-05-26,12,0.08132164223493943,0.08113263974291189,,,正常
2020-05-26,12,0.0813216422349394,0.0811326397429118,,,正常
2020-05-27,12,0.08238149503008274,0.08131104764107915,,,正常
2020-05-27,12,0.0823814950300827,0.0813110476410791,,,正常
2020-05-28,12,0.0809471579150762,0.0812655614253287,,,正常
2020-05-28,12,0.08094715791507623,0.08126556142532879,,,正常
2020-05-29,12,0.0903421215572094,0.0822740681066488,,,正常
2020-05-29,12,0.09034212155720944,0.08227406810664886,,,正常
2020-06-01,12,0.10179410696670232,0.08422607199265421,,,正常
2020-06-01,12,0.1017941069667023,0.0842260719926542,,,正常
2020-06-02,12,0.0965631355404738,0.08534762322427417,,,正常
2020-06-02,12,0.0965631355404738,0.0853476232242741,,,正常
2020-06-03,12,0.09596702515311661,0.08623257338501104,,,正常
2020-06-03,12,0.0959670251531166,0.086232573385011,,,正常
2020-06-04,12,0.0940790824900875,0.0868361510084784,,,正常
2020-06-04,12,0.09407908249008756,0.08683615100847845,,,正常
2020-06-05,12,0.09329238069695278,0.08729731027194092,,,正常
2020-06-05,12,0.0932923806969527,0.0872973102719409,,,正常
2020-06-08,12,0.10262303317427723,0.08831902513209666,,,正常
2020-06-08,12,0.1026230331742772,0.0883190251320966,,,正常
2020-06-09,12,0.10542709022708274,0.0893882792005333,,,正常
2020-06-09,12,0.1054270902270827,0.0893882792005333,,,正常
2020-06-10,12,0.10628976678423796,0.09038248435251593,,,正常
2020-06-10,12,0.1062897667842379,0.0903824843525159,,,正常
2020-06-11,12,0.1070582160519302,0.0913089138913722,,,正常
2020-06-11,12,0.10705821605193022,0.09130891389137227,,,正常
2020-06-12,12,0.10686571531338274,0.09212769291358336,,,正常
2020-06-12,12,0.1068657153133827,0.0921276929135833,,,正常
2020-06-15,12,0.1275006349196767,0.093896340013888,,,正常
2020-06-15,12,0.12750063491967678,0.09389634001388802,,,正常
2020-06-16,12,0.1282470097278663,0.0961713148257647,,,正常
2020-06-16,12,0.1282470097278663,0.0961713148257647,,,正常
2020-06-17,12,0.1266502724968732,0.0984494311679668,,,正常
2020-06-17,12,0.12665027249687322,0.09844943116796681,,,正常
2020-06-18,12,0.1246909630961392,0.1006464316696907,,,正常
2020-06-18,12,0.12469096309613925,0.10064643166969071,,,正常
2020-06-19,12,0.1210523079971077,0.1026662843058153,,,正常
2020-06-19,12,0.12105230799710776,0.10266628430581533,,,正常
2020-06-22,12,0.1438430809137421,0.1058468119143478,,,正常
2020-06-22,12,0.1438430809137421,0.10584681191434786,,,正常
2020-06-23,12,0.1466245262244468,0.1091119561138232,,,正常
2020-06-23,12,0.14662452622444688,0.10911195611382322,,,正常
2020-06-24,12,0.15352908447142732,0.11266933558589047,,,正常
2020-06-24,12,0.1535290844714273,0.1126693355858904,,,正常
2020-06-29,12,0.15504626534179866,0.1163742909572266,,,正常
2020-06-29,12,0.1550462653417986,0.1163742909572266,,,正常
2020-06-30,12,0.1543506675679751,0.1195747182577648,,,正常
2020-06-30,12,0.1543506675679751,0.11957471825776486,,,正常
2020-07-01,12,0.1571583911348326,0.1223429324661713,,,正常
2020-07-01,12,0.15715839113483265,0.12234293246617138,,,正常
2020-07-02,12,0.1618843017176003,0.1256089907750277,,,正常
2020-07-02,12,0.16188430171760038,0.1256089907750277,,,正常
2020-07-03,12,0.1679565373875032,0.129208466386747,,,正常
2020-07-03,12,0.16795653738750327,0.12920846638674705,,,正常
2020-07-06,12,0.1760945032481148,0.1333092374246484,,,正常
2020-07-06,12,0.17609450324811482,0.13330923742464842,,,正常
2020-07-07,12,0.1652141635898609,0.1369053265692938,,,正常
2020-07-07,12,0.16521416358986096,0.13690532656929383,,,正常
2020-07-08,12,0.1757874346860466,0.1405635466448823,,,正常
2020-07-08,12,0.17578743468604663,0.1405635466448823,,,正常
2020-07-09,12,0.17033867215380438,0.14380912574121835,,,正常
2020-07-09,12,0.1703386721538043,0.1438091257412183,,,正常
2020-07-10,12,0.1612137669421487,0.1465553257491139,,,正常
2020-07-10,12,0.16121376694214873,0.1465553257491139,,,正常
2020-07-13,12,0.1705829133738537,0.1497315606152101,,,正常
2020-07-13,12,0.17058291337385378,0.1497315606152101,,,正常
2020-07-14,12,0.1659129384958925,0.1526839217743355,,,正常
2020-07-14,12,0.1659129384958925,0.15268392177433557,,,正常
2020-07-15,12,0.1673950883675318,0.1546786444467283,,,正常
2020-07-15,12,0.1673950883675318,0.15467864444672833,,,正常
2020-07-16,12,0.1595284947088071,0.1562427186957753,,,正常
2020-07-16,12,0.15952849470880714,0.15624271869577538,,,正常
2020-07-17,12,0.1352633926250369,0.1566733747021835,,,正常
2020-07-17,12,0.13526339262503695,0.15667337470218354,,,正常
2020-07-20,12,0.1354378863147539,0.1572107208631143,,,正常
2020-07-20,12,0.13543788631475395,0.1572107208631143,,,正常
2020-07-21,12,0.1335967932709263,0.1578379451268052,,,正常
2020-07-21,12,0.13359679327092633,0.1578379451268052,,,正常
2020-07-22,12,0.1337827204895004,0.1573349271055931,,,正常
2020-07-22,12,0.13378272048950046,0.15733492710559313,,,正常
2020-07-23,12,0.1330668850012772,0.1566570450444346,,,正常
2020-07-23,12,0.13306688500127728,0.15665704504443467,,,正常
2020-07-24,12,0.1365047610588435,0.1558058288738054,,,正常
2020-07-24,12,0.13650476105884357,0.15580582887380548,,,正常
2020-07-27,12,0.11919191786404892,0.15401311149991798,,,正常
2020-07-27,12,0.1191919178640489,0.1540131114999179,,,正常
2020-07-28,12,0.119492374392117,0.152270196841125,,,正常
2020-07-28,12,0.11949237439211702,0.15227019684112508,,,正常
2020-07-29,12,0.11702133373888524,0.15026334397132773,,,正常
2020-07-29,12,0.1170213337388852,0.1502633439713277,,,正常
2020-07-30,12,0.1121127499927876,0.147774766385087,,,正常
2020-07-30,12,0.11211274999278764,0.14777476638508708,,,正常
2020-07-31,12,0.11072711058365114,0.14491329504489445,,,正常
2020-07-31,12,0.1107271105836511,0.1449132950448944,,,正常
2020-08-03,12,0.10966195746128682,0.14159166775555304,,,正常
2020-08-03,12,0.1096619574612868,0.141591667755553,,,正常
2020-08-04,12,0.10628580137055244,0.13864524964458763,,,正常
2020-08-04,12,0.1062858013705524,0.1386452496445876,,,正常
2020-08-05,12,0.1658941303367277,0.1381505844271217,,,正常
2020-08-05,12,0.16589413033672773,0.1381505844271217,,,正常
2020-08-06,12,0.16590076048017555,0.13792868884344026,,,正常
2020-08-06,12,0.1659007604801755,0.1379286888434402,,,正常
2020-08-07,12,0.1689408177695904,0.1383150413848123,,,正常
2020-08-07,12,0.16894081776959047,0.13831504138481235,,,正常
2020-08-10,12,0.1666461409259279,0.13811820276241604,,,正常
2020-08-10,12,0.1666461409259279,0.138118202762416,,,正常
2020-08-11,12,0.16916930443275535,0.13828102105925916,,,正常
2020-08-11,12,0.1691693044327553,0.1382810210592591,,,正常
2020-08-12,12,0.1658201488940545,0.1382022740855853,,,正常
2020-08-12,12,0.1658201488940545,0.13820227408558533,,,正常
2020-08-13,12,0.16442070046969426,0.13844688437362968,,,正常
2020-08-13,12,0.1644207004696942,0.1384468843736296,,,正常
2020-08-14,12,0.1647538055610121,0.1399214050204284,,,正常
2020-08-14,12,0.16475380556101216,0.13992140502042844,,,正常
2020-08-17,12,0.1667010603137216,0.1414845637203768,,,正常
2020-08-17,12,0.16670106031372167,0.14148456372037682,,,正常
2020-08-18,12,0.1647068810245056,0.1430400681080557,,,正常
2020-08-18,12,0.1647068810245056,0.14304006810805578,,,正常
2020-08-19,12,0.1693832963118857,0.144820096899175,,,正常
2020-08-19,12,0.16938329631188576,0.14482009689917505,,,正常
2020-08-20,12,0.1608204055160108,0.1462077729249117,,,正常
2020-08-20,12,0.16082040551601084,0.14620777292491172,,,正常
2020-08-21,12,0.1642766796355621,0.1475963688537476,,,正常
2020-08-21,12,0.16427667963556214,0.14759636885374766,,,正常
2020-08-24,12,0.1662463012607439,0.1499490880235824,,,正常
2020-08-24,12,0.1662463012607439,0.14994908802358242,,,正常
2020-08-25,12,0.1684976310494486,0.152399350856449,,,正常
2020-08-25,12,0.1684976310494486,0.152399350856449,,,正常
2020-08-26,12,0.16638467357472742,0.1548675178482411,,,正常
2020-08-26,12,0.1663846735747274,0.1548675178482411,,,正常
2020-08-27,12,0.1660215022225813,0.1575629554597307,,,正常
2020-08-27,12,0.16602150222258139,0.15756295545973079,,,正常
2020-08-28,12,0.1638101738098301,0.1602171086210397,,,正常
2020-08-28,12,0.1638101738098301,0.16021710862103972,,,正常
2020-08-31,12,0.1638087437467357,0.1629244479353122,,,正常
2020-08-31,12,0.1638087437467357,0.1629244479353122,,,正常
